Name,SaxoId,WpId,Boten
-9148937471432081945,20203501,1565,"Heren Talenten8,Eerstejaars Zwaar 2016,Jalapeñøs,Middengroep Zwaar 2017,Middengrøep Gayns,HTal8+ '17,Niet op gewicht,Eerstejaars Zwaar"
2260585444077807366,20203881,1920,"Jalapeñøs,Øngepast"
9214214702055834249,20204022,2051,"Middengroep Dames 2017,Ouderejaars Dames,Førstemannen"
-5908564175878509155,20204096,2313,"Mulder,Nog steeds Önderweg,Önderweg,Søwiesø,Tørpedo,Køhn,Åtte Øl,Watergødinnen "
-6215410188042083702,20204045,2168,"Eerstejaars Lichte Dames 2017,Middengroep Lichte Dames,Eerstejaars Lichte Dames"
2262813767434828793,20204047,2339,"Røstagh,Gladde Bøys,ØK,Dames Talenten 4*,BIGGØN,Heren Talenten 8+,Heren Project 8+ (TopCv\'acht),Heren Clubacht,Eerstejaars Licht"
-4652671161978545115,20204058,2338,"Ønvøldøende,Kørt maar krachtig,(on)Vøldøende,Dames Project 8+"
270738247839567581,20204059,2154,"Peddøls,Peddøls 2018"
8909294318885646750,20204063,2111,"Damesclubacht,Vaar-Wel,Ønvierwacht,HTOPC4+,ØLYMPILS,Oudlicht"
-1368821484230766484,20204064,2170,"Øl Brødre,Row your Goat"
-727635302820919792,20204076,2257,"Gøudvis,Veløcità"
9078851157434207939,20204088,2088,"Taørt,Mørmaids,Heren TopC4+"
-6248829074924624868,20204089,2266,"DamesTopC4+,Jøt & Jøl (2.0)"
6767567224890197360,20204097,2134,"Jip&Janneke,Taørt,Røstagh,Head Mixed4*,VAMØS,Jon&Juul,Søbtiel,Krøkø,Røy en Nina,Alweer,DCl4*,Middengroep Lichte Dames "
-5276385819314628178,20204101,2091,"Eerstejaars Zwaar 2017,Middengroep Zwaar,HØYE,Røllø,Middengroep Dames"
3436905894247761166,20204106,2217,"Eerstejaars Lichte Dames 2017,Calimerøw,Eerstejaars Licht 2018,Ouderejaars Dames,Ouderejaars Heren"
182831386627753869,20204115,2294,"Gøudvis,ØL ER GULL,Støei,ØDØL ER GULL"
3197623652492731343,20204116,2365,
8432640738215354927,20204123,2180,"Brøwmance,Bløf,Kanthari,Badkuip,Ølympils"
4753776783339894101,20204127,2194,"Øl Brødre,Vønk"
-7439950471455829727,20204133,2151,"Taørt,FC Knødde,Mørmaids,ØLYMPILS"
